cache-bench-write-back  | INFO:     151.101.128.223:42156 - "PUT /items/234 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:38921 - "PUT /items/178 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:51203 - "GET /items/412 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:42156 - "PUT /items/89 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:38921 - "PUT /items/467 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:51203 - "PUT /items/321 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:42156 - "GET /items/98 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:38921 - "PUT /items/156 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:51203 - "PUT /items/423 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:42156 - "PUT /items/267 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:38921 - "PUT /items/391 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:51203 - "PUT /items/145 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:42156 - "GET /items/278 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:38921 - "PUT /items/492 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:51203 - "PUT /items/334 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:42156 - "PUT /items/201 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:38921 - "PUT /items/78 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:51203 - "GET /items/456 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:42156 - "PUT /items/312 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:38921 - "PUT /items/189 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:51203 - "PUT /items/445 HTTP/1.1" 200 OK
cache-bench-write-back  | INFO:     151.101.128.223:42156 - "PUT /items/67 HTTP/1.1" 200 OK
